Extension,Altitude,Velocity,Drag,Center_of_Pressure
10,7000,480.0,570.7864,0.6726518
10,7000,514.0,649.927,0.6757053
10,8000,34.0,3.28758,0.6940009
10,8000,68.0,12.25187,0.6857113
10,8000,102.0,26.45763,0.6856265
10,8000,137.0,45.91875,0.6833555
10,8000,171.0,70.60649,0.6805338
10,8000,205.0,100.0571,0.6797634
10,8000,240.0,134.4442,0.6807458
10,8000,274.0,174.1636,0.677004
10,8000,308.0,218.2776,0.6766726
10,8000,343.0,266.9866,0.6777468
10,8000,377.0,321.0063,0.6772885
10,8000,411.0,379.5193,0.6774469
10,8000,445.0,443.7895,0.6730903
10,8000,480.0,511.2641,0.6768323
10,8000,514.0,583.4979,0.6739925
10,9000,34.0,2.953066,0.6937787
10,9000,68.0,10.95558,0.6891616
10,9000,102.0,23.74082,0.6845602
10,9000,137.0,41.20608,0.6813925
10,9000,171.0,63.19864,0.6805358
10,9000,205.0,89.46809,0.6821445
10,9000,240.0,120.2951,0.6817828
10,9000,274.0,155.7229,0.6802077
10,9000,308.0,194.7539,0.6808749
10,9000,343.0,239.1956,0.6766872
10,9000,377.0,287.8288,0.6735294
10,9000,411.0,339.4946,0.6765452
10,9000,445.0,396.1053,0.676775
10,9000,480.0,457.743,0.673919
10,9000,514.0,521.4964,0.6749699
10,10000,34.0,2.645954,0.6949122
10,10000,68.0,9.812105,0.6878459
10,10000,102.0,21.24457,0.6842572
10,10000,137.0,36.73309,0.6836874
10,10000,171.0,56.38028,0.6807628
10,10000,205.0,79.87779,0.6827449
10,10000,240.0,107.3076,0.6818743
10,10000,274.0,139.0995,0.6800207
10,10000,308.0,173.863,0.6805378
10,10000,343.0,213.2067,0.6778437
10,10000,377.0,256.4334,0.6759189
10,10000,411.0,302.624,0.6784771
10,10000,445.0,354.026,0.6735765
10,10000,480.0,408.1006,0.6738648
10,10000,514.0,464.1577,0.6787269
20,0,34.0,7.340869,0.703531
20,0,68.0,27.72702,0.6973372
20,0,102.0,60.41798,0.6958768
20,0,137.0,105.2929,0.6934479
20,0,171.0,161.8562,0.6936327
20,0,205.0,230.2909,0.6924837
20,0,240.0,310.836,0.6896214
20,0,274.0,402.6747,0.6880314
20,0,308.0,505.7481,0.6890872
20,0,343.0,616.6937,0.6923187
20,0,377.0,746.0155,0.6875856
20,0,411.0,882.5987,0.6885911
20,0,445.0,1032.271,0.6862428
20,0,480.0,1190.9,0.6871075
20,0,514.0,1363.828,0.6868655
20,1000,34.0,6.706539,0.7047213
20,1000,68.0,25.32943,0.6978413
20,1000,102.0,55.19329,0.6956592
20,1000,137.0,96.24394,0.6921412
20,1000,171.0,147.8894,0.6922829
20,1000,205.0,210.0366,0.6935474
20,1000,240.0,283.503,0.6908818
20,1000,274.0,367.368,0.6888192
20,1000,308.0,461.2357,0.6894656
20,1000,343.0,565.0531,0.6898296
20,1000,377.0,680.2338,0.6883231
20,1000,411.0,805.2788,0.6882989
20,1000,445.0,941.0108,0.6869192
20,1000,480.0,1086.151,0.6873657
20,1000,514.0,1243.107,0.6873321
20,2000,34.0,6.119796,0.7051659
20,2000,68.0,23.08704,0.6985478
20,2000,102.0,50.30123,0.6960061
20,2000,137.0,87.60271,0.693626
20,2000,171.0,134.6657,0.6927345
20,2000,205.0,191.5363,0.6923125
20,2000,240.0,258.1482,0.6911633
20,2000,274.0,334.0714,0.6904692
20,2000,308.0,419.7227,0.6890427
20,2000,343.0,514.7363,0.6894213
20,2000,377.0,618.8428,0.6885915
20,2000,411.0,732.6727,0.688207
20,2000,445.0,856.3094,0.687665
20,2000,480.0,988.3376,0.6869792
20,2000,514.0,1131.157,0.6873772
20,3000,34.0,5.573195,0.7055394
20,3000,68.0,20.98639,0.6998133
20,3000,102.0,45.73682,0.6962252
20,3000,137.0,79.61336,0.6941603
20,3000,171.0,122.3662,0.6931288
20,3000,205.0,173.9462,0.6928325
20,3000,240.0,234.5575,0.6912392
20,3000,274.0,303.436,0.6916271
20,3000,308.0,381.4189,0.6894255
20,3000,343.0,467.391,0.6892089
20,3000,377.0,562.6725,0.6891671
20,3000,411.0,665.1034,0.6893875
20,3000,445.0,777.168,0.6887352
20,3000,480.0,897.4369,0.6883137
20,3000,514.0,1026.859,0.6879102
20,4000,34.0,5.064631,0.7059562
20,4000,68.0,19.04304,0.7008381
20,4000,102.0,41.48552,0.6968949
20,4000,137.0,72.10066,0.6957109
20,4000,171.0,110.9599,0.6935657
20,4000,205.0,157.6986,0.6929011
20,4000,240.0,212.2986,0.6931093
20,4000,274.0,275.1718,0.6910134
20,4000,308.0,345.4704,0.6905736
20,4000,343.0,423.7385,0.6895635
20,4000,377.0,509.2869,0.6891081
20,4000,411.0,602.6893,0.6895233
20,4000,445.0,704.1337,0.6891472
20,4000,480.0,812.9844,0.6881559
20,4000,514.0,929.8966,0.6884269
20,5000,34.0,4.588937,0.7071496
20,5000,68.0,17.22961,0.702156
20,5000,102.0,37.56072,0.6973249
20,5000,137.0,65.23363,0.6961222
20,5000,171.0,100.3685,0.694041
20,5000,205.0,142.6561,0.6928926
20,5000,240.0,192.0187,0.6924457
20,5000,274.0,248.5285,0.6924262
20,5000,308.0,312.2872,0.6910987
20,5000,343.0,382.8063,0.6903115
20,5000,377.0,460.3522,0.6895674
20,5000,411.0,544.7415,0.6897653
20,5000,445.0,636.7991,0.687713
20,5000,480.0,734.4637,0.6896323
20,5000,514.0,839.1362,0.6885527
20,6000,34.0,4.151437,0.7074174
20,6000,68.0,15.5739,0.7022527
20,6000,102.0,33.90024,0.6981902
20,6000,137.0,58.87821,0.6964548
20,6000,171.0,90.40305,0.6959032
20,6000,205.0,128.667,0.6935319
20,6000,240.0,173.1272,0.6932231
20,6000,274.0,224.0908,0.6925037
20,6000,308.0,281.3287,0.6922737
20,6000,343.0,345.1339,0.6914552
20,6000,377.0,415.0961,0.6903873
20,6000,411.0,491.1962,0.6900815
20,6000,445.0,573.9539,0.6883893
20,6000,480.0,662.4507,0.6881856
20,6000,514.0,756.887,0.6887423
20,7000,34.0,3.746526,0.7079836
20,7000,68.0,14.01994,0.70314
20,7000,102.0,30.53351,0.6986696
20,7000,137.0,53.01403,0.6969071
20,7000,171.0,81.37821,0.6960375
20,7000,205.0,115.7976,0.6937321
20,7000,240.0,155.8624,0.6927722
20,7000,274.0,201.5425,0.6924841
20,7000,308.0,253.1348,0.6928024
20,7000,343.0,310.1455,0.6922973
20,7000,377.0,372.8416,0.6916713
20,7000,411.0,441.8331,0.6900625
20,7000,445.0,515.9256,0.6894568
20,7000,480.0,595.3973,0.6887839
20,7000,514.0,680.4985,0.6883459
20,8000,34.0,3.373654,0.707849
20,8000,68.0,12.59779,0.7036684
20,8000,102.0,27.40952,0.6996444
20,8000,137.0,47.60125,0.6973084
20,8000,171.0,73.02096,0.6966293
20,8000,205.0,103.72,0.6957322
20,8000,240.0,139.8558,0.6932833
20,8000,274.0,180.7259,0.6931598
20,8000,308.0,226.9302,0.692301
20,8000,343.0,278.3367,0.692452
20,8000,377.0,334.3566,0.6919949
20,8000,411.0,395.9118,0.6913485
20,8000,445.0,462.1085,0.6910525
20,8000,480.0,533.4017,0.6901437
20,8000,514.0,610.0352,0.6889063
20,9000,34.0,3.028977,0.7081004
20,9000,68.0,11.29149,0.7042524
20,9000,102.0,24.54443,0.7004122
20,9000,137.0,42.5979,0.6982406
20,9000,171.0,65.38876,0.6966364
20,9000,205.0,92.80363,0.6960362
20,9000,240.0,125.0459,0.6939334
20,9000,274.0,161.7367,0.6929197
20,9000,308.0,202.9223,0.6927956
20,9000,343.0,248.6004,0.6928551
20,9000,377.0,298.8781,0.6926307
20,9000,411.0,353.4865,0.693067
20,9000,445.0,412.7224,0.6919481
20,9000,480.0,476.9562,0.6906683
20,9000,514.0,545.1089,0.6899487
20,10000,34.0,2.713306,0.7082468
20,10000,68.0,10.08056,0.70552
20,10000,102.0,21.89811,0.7015421
20,10000,137.0,38.04709,0.6977841
20,10000,171.0,58.32156,0.6974797
20,10000,205.0,82.77325,0.6964588
20,10000,240.0,111.2924,0.6959671
20,10000,274.0,144.1833,0.6936342
20,10000,308.0,180.9333,0.6930949
20,10000,343.0,221.6843,0.6926358
20,10000,377.0,266.3475,0.6925551
20,10000,411.0,315.0657,0.6929973
20,10000,445.0,367.8663,0.6922408
20,10000,480.0,424.5876,0.6914855
20,10000,514.0,485.666,0.6907355
30,0,34.0,7.546184,0.69868
30,0,68.0,28.4661,0.6968434
30,0,102.0,62.28844,0.6924224
30,0,137.0,108.9384,0.6898141
30,0,171.0,167.4157,0.6887635
30,0,205.0,238.2271,0.6881011
30,0,240.0,322.2388,0.6859991
30,0,274.0,417.5192,0.6850668
30,0,308.0,524.8177,0.6844833
30,0,343.0,644.6573,0.6843508
30,0,377.0,772.9268,0.6857438
30,0,411.0,916.3015,0.6853007
30,0,445.0,1074.667,0.6821674
30,0,480.0,1241.142,0.6842682
30,0,514.0,1419.774,0.6833755
30,1000,34.0,6.889108,0.70069
30,1000,68.0,26.0569,0.6940842
30,1000,102.0,56.86089,0.6927953
30,1000,137.0,99.29932,0.6911493
30,1000,171.0,152.5388,0.6902782
30,1000,205.0,217.3313,0.6885009
30,1000,240.0,293.8326,0.6868605
30,1000,274.0,380.6501,0.6861582
30,1000,308.0,478.4652,0.6849473
30,1000,343.0,587.2783,0.6845835
30,1000,377.0,707.329,0.6837466
30,1000,411.0,838.3146,0.6833311
30,1000,445.0,979.4954,0.6824583
